images,labels
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_001.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_001.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_002.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_002.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_003.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_003.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_004.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_004.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_005.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_005.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_006.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_006.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_007.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_007.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_008.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_008.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_009.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_009.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_010.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_010.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_011.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_011.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_012.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_012.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_013.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_013.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_014.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_014.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_015.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_015.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_016.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_016.txt
